domain,ip,port,service,severity,description,recommendation,banner,,,,,
education.kaspersky.com,185.186.2.26,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:03:51 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://education.kaspersky.com/
St",,,,,
files.geo.kaspersky.com,185.85.12.16,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:16 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://files.kaspersky.com/

<htm",,,,,
files.kaspersky.com,185.85.12.16,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:16 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://files.kaspersky.com/

<htm",,,,,
forum.kaspersky.com,82.202.190.232,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:16 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://forum.kaspersky.com/

<htm",,,,,
fthub.kaspersky.com,185.105.225.103,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:17 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://fthub.kaspersky.com/

<htm",,,,,
idea.kaspersky.com,148.251.233.13,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:34 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://electro-opt.com/

<html>
",,,,,
ideas.kaspersky.com,148.251.233.13,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:34 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://ideas.kaspersky.com/

<htm",,,,,
inter-fe.geo.kaspersky.com,62.128.100.33,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:04:40 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://inter-fe.geo.kaspersky.com/
",,,,,
kdp.kaspersky.com,82.202.190.92,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:00 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://kdp.kaspersky.com/

<html>",,,,,
keyfile.kaspersky.com,80.239.170.162,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:02 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: https://keyf",,,,,
klcloudtest.kaspersky.com,93.159.230.8,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:02 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://10.68.92.24:443/

<html>
",,,,,
kids.kaspersky.com,88.212.254.118,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:02 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://kids.kaspersky.com/

<html",,,,,
ksos.kaspersky.com,82.202.190.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:19 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://ksos.kaspersky.com/

<html",,,,,
licenseinfo.kaspersky.com,62.128.100.146,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:29 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: http://licen",,,,,
licenseinfo.geo.kaspersky.com,77.74.177.238,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:29 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: http://licen",,,,,
m.my.kaspersky.com,80.239.170.135,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:35 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: http://keyfi",,,,,
manage-tablet.kaspersky.com,82.202.190.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:38 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://my.kaspersky.com/

<html>
",,,,,
mdr.geo.kaspersky.com,82.202.190.64,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:40 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://mdr.geo.kaspersky.com/

<h",,,,,
mdr.kaspersky.com,82.202.190.64,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:40 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://mdr.kaspersky.com/

<html>",,,,,
moscow.my.kaspersky.com,82.202.190.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:48 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://dc1.my.kaspersky.com/

<ht",,,,,
moscow.center-kl.geo.kaspersky.com,82.202.190.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:48 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://my.kaspersky.com/

<html>
",,,,,
my.kaspersky.com,82.202.190.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:05:51 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://my.kaspersky.com/

<html>
",,,,,
partners.kaspersky.com,217.28.224.30,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:06:28 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://partners.kaspersky.com/
X-W",,,,,
promo.kaspersky.com,80.239.170.134,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:06:46 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: https://prom",,,,,
redirect.geo.kaspersky.com,77.74.177.233,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:06:49 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 233
Connection: keep-alive
Keep-Alive: timeout=20
X-",,,,,
redirect.kaspersky.com,77.74.177.233,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:06:49 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 233
Connection: keep-alive
Keep-Alive: timeout=20
X-",,,,,
safeboard.kaspersky.com,79.143.27.116,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:12 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://safeboard.kaspersky.com/

",,,,,
secureitcup.kaspersky.com,79.143.27.116,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:16 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://secureitcup.kaspersky.com/
",,,,,
survey.kaspersky.com,51.250.55.123,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:39 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://survey.kaspersky.com/

<ht",,,,,
toronto.center-kl.geo.kaspersky.com,185.54.223.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:52 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://my.kaspersky.com/

<html>
",,,,,
toronto.my.kaspersky.com,185.54.223.18,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:53 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://dc2.my.kaspersky.com/

<ht",,,,,
tour.kaspersky.com,89.169.165.198,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:54 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Location: https://tour.kaspersky.com/

<html",,,,,
touch.geo.kaspersky.com,80.239.170.149,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:07:54 GMT
Content-Type: text/html; charset=iso-8859-1
Content-Length: 233
Connection: keep-alive
Keep-Alive: timeout=20
X-",,,,,
validator.geo.kaspersky.com,81.19.104.207,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:08:09 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: http://licen",,,,,
validator.kaspersky.com,81.19.104.207,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx
Date: Thu, 24 Apr 2025 06:08:09 GMT
Content-Type: text/html
Content-Length: 162
Connection: keep-alive
Keep-Alive: timeout=40
Location: http://valid",,,,,
mwc.kaspersky.com,81.200.147.14,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.18.0 (Ubuntu)
Date: Thu, 24 Apr 2025 06:05:52 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://mwc.kaspersk",,,,,
password.kaspersky.com,89.169.165.81,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.18.0 (Ubuntu)
Date: Thu, 24 Apr 2025 06:06:28 GMT
Content-Type: text/html
Content-Length: 178
Connection: keep-alive
Location: https://password.kas",,,,,
md.kaspersky.com,3.74.205.2,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.22.1
Date: Thu, 24 Apr 2025 06:05:41 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://md.kaspersky.com/

",,,,,
ics-cert.kaspersky.com,89.169.162.118,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.26.3
Date: Thu, 24 Apr 2025 06:04:32 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://ics-cert.kaspersky.co",,,,,
noransom.kaspersky.com,91.103.67.151,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.26.3
Date: Thu, 24 Apr 2025 06:06:09 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://noransom.kaspersky.co",,,,,
test.password.kaspersky.com,91.103.67.151,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.26.3
Date: Thu, 24 Apr 2025 06:07:50 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://kasperskysoft1.ru/

",,,,,
threats.kaspersky.com,91.103.67.151,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.26.3
Date: Thu, 24 Apr 2025 06:07:51 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://threats.kaspersky.com",,,,,
wp.geo.kaspersky.com,46.8.206.8,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.26.3
Date: Thu, 24 Apr 2025 06:08:23 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://www.aprotech.online/
",,,,,
wit.kaspersky.com,158.160.79.81,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 301 Moved Permanently
Server: nginx/1.27.4
Date: Thu, 24 Apr 2025 06:08:20 GMT
Content-Type: text/html
Content-Length: 169
Connection: keep-alive
Location: https://wit.kaspersky.com/

",,,,,
gotest.kaspersky.com,104.17.74.206,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found
Date: Thu, 24 Apr 2025 06:04:21 GMT
Content-Type: text/html; charset=iso-8859-1
Transfer-Encoding: chunked
Connection: keep-alive
Location: http://app-sj06.marketo.com/index.ph",,,,,
im.ha.kaspersky.com,158.160.7.181,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found
Location: https://kaspersky.com/
Date: Thu, 24 Apr 2025 06:04:34 GMT
Content-Length: 0",,,,,
meet.ha.kaspersky.com,158.160.7.181,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found
Location: https://kaspersky.com/
Date: Thu, 24 Apr 2025 06:05:45 GMT
Content-Length: 0",,,,,
activation.bss.kaspersky.com,185.85.14.35,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activation.bss.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.apac.kaspersky.com,77.74.176.132,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.apac.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.cn.kaspersky.com,119.254.74.51,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.cn.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.de.kaspersky.com,88.217.237.58,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.de.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.eu.kaspersky.com,88.217.237.58,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.eu.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.kaspersky.com,77.74.176.132,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.uk.kaspersky.com,88.217.237.58,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.uk.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync.us.kaspersky.com,77.74.176.132,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync.us.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
activesync2010.eu.kaspersky.com,88.217.237.58,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://activesync2010.eu.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
apacsalesbackoffice.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://apacsalesbackoffice.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
aps.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://aps.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
awards.kaspersky.com,93.159.231.91,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://awards.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
b2bcampaigns.kaspersky.com,93.159.231.86,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://b2bcampaigns.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
b2bservices.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://b2bservices.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
b2bsubscription.kaspersky.com,93.159.231.85,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://b2bsubscription.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
b2c.kaspersky.com,93.159.231.85,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://b2c.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
brand-test.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://brand-test.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
brand-test2017.kaspersky.com,93.159.231.85,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://brand-test2017.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
brandchallenge.kaspersky.com,93.159.231.85,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://brandchallenge.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
brandgames2016.kaspersky.com,93.159.231.85,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://brandgames2016.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
channel.kaspersky.com,93.159.231.86,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://channel.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cip.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cip.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cnbjoos.apac.kaspersky.com,119.254.74.53,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cnbjoos.apac.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
confluence.kaspersky.com,93.159.230.209,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://confluence.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
contracts.kaspersky.com,77.74.176.144,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://contracts.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
coo.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://coo.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cs.kaspersky.com,77.74.176.143,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cs.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
css.kaspersky.com,93.159.230.201,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://css.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cssdev.kaspersky.com,93.159.230.234,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cssdev.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cssinteg.kaspersky.com,93.159.230.202,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cssinteg.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
cssstage.kaspersky.com,185.85.14.14,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://cssstage.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
custom.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://custom.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
dit.kaspersky.com,77.74.176.145,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://dit.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
dwh.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://dwh.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
eventsmedia.kaspersky.com,93.159.231.86,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://eventsmedia.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
extcss.geo.kaspersky.com,93.159.230.211,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://extcss.geo.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
extcss.kaspersky.com,93.159.230.201,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://extcss.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
extrndtfs.kaspersky.com,77.74.176.125,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://extrndtfs.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
fin.kaspersky.com,77.74.176.142,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://fin.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
future.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://future.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
globalconsumermarketing.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://globalconsumermarketing.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
hqitsmrssom.kaspersky.com,93.159.230.236,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://hqitsmrssom.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
hqoos.kaspersky.com,93.159.231.77,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://hqoos.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
hqwebshop.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://hqwebshop.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
incident.kaspersky.com,77.74.176.141,80,HTTP,High,HTTP без HTTPS (HTTP без HTTPS),Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://incident.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
informationproviderservice.kaspersky.com,93.159.230.241,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://informationproviderservice.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
intelligence.kaspersky.com,93.159.231.84,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://intelligence.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
intranet.kaspersky.com,93.159.231.80,80,HTTP,Medium,HTTP без HTTPS,Настроить HTTPS,"HTTP/1.1 302 Found : Moved Temporarily
Location: https://intranet.kaspersky.com/
Connection: close
Cache-Control: no-cache
Pragma: no-cache",,,,,
